
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000121                       # Number of seconds simulated (Second)
simTicks                                    120755000                       # Number of ticks simulated (Tick)
finalTick                                   120755000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      3.38                       # Real time elapsed on the host (Second)
hostTickRate                                 35712015                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1233768                       # Number of bytes of host memory used (Byte)
simInsts                                       213253                       # Number of instructions simulated (Count)
simOps                                         215607                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    63053                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      63748                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           120756                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.566257                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.765983                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          226300                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      320                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         225188                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     77                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                11012                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              5174                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 104                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              106495                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.114541                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.042699                       # Number of insts issued each cycle (Count)
system.cpu.commitStats0.committedControl::IsControl        40645                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsDirectControl        36798                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsIndirectControl         3847                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsCondControl        31118                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsUncondControl         9527                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsCall         2040                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsReturn         2035                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.functionCalls            2040                       # Number of function calls committed (Count)
system.cpu.commitStats0.numCallsReturns          4075                       # Number of function calls and returns committed (Count)
system.cpu.decode.status::Running               45888     43.09%     43.09% # Number of cycles decode is running (Cycle)
system.cpu.decode.status::Idle                  41517     38.98%     82.07% # Number of cycles decode is idle (Cycle)
system.cpu.decode.status::Squashing               748      0.70%     82.78% # Number of cycles decode is squashing (Cycle)
system.cpu.decode.status::Blocked               16776     15.75%     98.53% # Number of cycles decode is blocking (Cycle)
system.cpu.decode.status::Unblocking             1566      1.47%    100.00% # Number of cycles decode is unblocking (Cycle)
system.cpu.decode.branchResolved                22215                       # Number of times decode resolved a branch (Count)
system.cpu.decode.branchMispred                   314                       # Number of times decode detected a branch misprediction (Count)
system.cpu.decode.decodedInsts                 231521                       # Number of instructions handled by decode (Count)
system.cpu.decode.squashedInsts                  1402                       # Number of squashed instructions handled by decode (Count)
system.cpu.executeStats0.numInsts              223985                       # Number of executed instructions (Count)
system.cpu.executeStats0.numNop                     0                       # Number of nop insts executed (Count)
system.cpu.executeStats0.numBranches            41870                       # Number of branches executed (Count)
system.cpu.executeStats0.numLoadInsts           33264                       # Number of load instructions executed (Count)
system.cpu.executeStats0.numStoreInsts           8104                       # Number of stores executed (Count)
system.cpu.executeStats0.instRate            1.854856                       # Inst execution rate ((Count/Cycle))
system.cpu.executeStats0.numFpAluAccesses        33277                       # Number of float alu accesses (Count)
system.cpu.executeStats0.numFpRegReads          39230                       # Number of times the floating registers were read (Count)
system.cpu.executeStats0.numFpRegWrites         28401                       # Number of times the floating registers were written (Count)
system.cpu.executeStats0.numIntAluAccesses       195327                       # Number of integer alu accesses (Count)
system.cpu.executeStats0.numIntRegReads        229796                       # Number of times the integer registers were read (Count)
system.cpu.executeStats0.numIntRegWrites       136663                       # Number of times the integer registers were written (Count)
system.cpu.executeStats0.numMemRefs             41368                       # Number of memory refs (Count)
system.cpu.executeStats0.numMiscRegReads       109041                       # Number of times the Misc registers were read (Count)
system.cpu.executeStats0.numMiscRegWrites        65130                       # Number of times the Misc registers were written (Count)
system.cpu.executeStats0.numVecAluAccesses        11650                       # Number of vector alu accesses (Count)
system.cpu.executeStats0.numVecRegReads         10560                       # Number of times the vector registers were read (Count)
system.cpu.executeStats0.numVecRegWrites         9027                       # Number of times the vector registers were written (Count)
system.cpu.executeStats0.numDiscardedOps            0                       # Number of ops (including micro ops) which were discarded before commit (Count)
system.cpu.fetch.status::running                63596     59.13%     59.13% # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu.fetch.status::squashing               2106      1.96%     61.09% # Number of cycles fetch has spent squashing (Cycle)
system.cpu.fetch.status::trapPending              294      0.27%     61.36% # Number of cycles fetch is waiting for a trap to be processed (Cycle)
system.cpu.fetch.status::icacheWaitResponse        41550     38.63%    100.00% # Number of cycles fetch is waiting for the Icache to respond (Cycle)
system.cpu.fetch.status::icacheWaitRetry            1      0.00%    100.00% # Number of cycles fetch is waiting for the Icache to retry (Cycle)
system.cpu.fetch.predictedBranches              26610                       # Number of branches that fetch has predicted taken (Count)
system.cpu.fetch.miscStallCycles                    1                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu.fetch.cacheLines                     33561                       # Number of cache lines fetched (Count)
system.cpu.fetch.icacheSquashes                   485                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu.fetch.nisnDist::samples             106495                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::mean              2.236359                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::stdev             2.915957                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::0                    55851     52.44%     52.44% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::1                     5352      5.03%     57.47% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::2                     7006      6.58%     64.05% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::3                     8423      7.91%     71.96% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::4                     5935      5.57%     77.53% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::5                     2640      2.48%     80.01% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::6                     5638      5.29%     85.30% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::7                     2440      2.29%     87.60% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::8                    13210     12.40%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::max_value                8                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::total               106495                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.ftNumber::samples              63596                       # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::mean                     0                       # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::stdev                    0                       # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::underflows               0      0.00%      0.00% # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::0                    63596    100.00%    100.00% # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::1                        0      0.00%    100.00% # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::2                        0      0.00%    100.00% # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::3                        0      0.00%    100.00% # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::4                        0      0.00%    100.00% # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::overflows                0      0.00%    100.00% # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::min_value                0                       # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::max_value                0                       # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::total                63596                       # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetchStats0.numInsts                235571                       # Number of instructions fetched (thread level) (Count)
system.cpu.fetchStats0.numOps                       0                       # Number of ops (including micro ops) fetched (thread level) (Count)
system.cpu.fetchStats0.fetchRate             1.950802                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu.fetchStats0.numBranches              45537                       # Number of branches fetched (Count)
system.cpu.fetchStats0.branchRate            0.377099                       # Number of branch fetches per cycle (Ratio)
system.cpu.fetchStats0.icacheStallCycles        41550                       # ICache total stall cycles (Cycle)
system.cpu.fetchStats0.numFetchSuspends             0                       # Number of times Execute suspended instruction fetching (Count)
system.cpu.ftq.inserts                              0                       # The number of FTQ insertions (Count)
system.cpu.ftq.removals                             0                       # The number of FTQ removals. Not including squashes (Count)
system.cpu.ftq.squashes                             0                       # The number of FTQ squashes (Count)
system.cpu.ftq.locks                                0                       # The number of times the FTQ got locked. (Count)
system.cpu.ftq.occupancy::samples                   0                       # Distribution of the FTQ occupation. (Count)
system.cpu.ftq.occupancy::mean                    nan                       # Distribution of the FTQ occupation. (Count)
